Restaurant Name,cuisine,location,avg_price,price_norm
kenny rogers roasters,american,durbar marg,834.7166666666667,0.986257751818222
kfc  boudha,fast food,boudha,878.4297872340425,0.9855240223421275
kfc  durbar marg,fast food,durbarmarg,878.4297872340425,0.9855240223421275
kfc  eyeplex mall,fast food,eyeplex mall  new baneshwor,878.4297872340425,0.9855240223421275
kfc  kalanki,fast food,kalanki,878.4297872340425,0.9855240223421275
kfc  kathmandu mall,fast food,kathmandu mall sundhara,878.4297872340425,0.9855240223421275
kfc  labim,fastfood,labim mall,878.4297872340425,0.9855240223421275
kfc  maharajgunj,fast food,maharajgunj,878.4297872340425,0.9855240223421275
kfc  naxal bhatbhateni,fast food,naxal bhatbhateni,878.4297872340425,0.9855240223421275
kfc  samakhusi,fast food,samakhusi  north city mall,878.4297872340425,0.9855240223421275
khadadevi foodland  banquet,multi cuisine,kalanki,378.9234693877551,0.9939082901350053
khaja affairs,multi cuisine,gwarko,170.0,0.9974150932583704
khaja express  kupondole,multi cuisine,kupondole,313.5625,0.9950053811045686
khaja expressmid baneswor,multi cuisine,old baneswor,309.5892857142857,0.9950720719378569
kharayo bakes,bakery,star homes sitapaila housing house no 22 sitapaila,1146.7307692307693,0.9810205612210515
